Título,Fecha,URL_PDF
Roadmap to 100: Electrifying the full  US school bus fleet,"November 25, 2025",https://files.wri.org/d8/s3fs-public/2025-11/roadmap-100-electrifying-full-us-school-bus-fleet.pdf?VersionId=cZB1enl5LOs6Os8JIio4PlVumrhnw61V
From Bonds to Blended Finance: How a Diverse Range of Financial Instruments Are Financing Climate Adaptation and Resilience,"November 19, 2025",https://files.wri.org/d8/s3fs-public/2025-11/from-bonds-to-blended-finance.pdf?VersionId=Vp_CflaY_b.nWC_SyHkpNfjwp3GbsMbU
The State of Ocean-Based Climate Action in 2025 Nationally Determined Contributions: A Preliminary Update,"November 18, 2025",https://files.wri.org/d8/s3fs-public/2025-11/the-state-of-ocean-based-climate-action-in-2025-nationally-determined-contributions-a-preliminary-update.pdf?VersionId=sxmnE1WrMowZAaJMEkGa5bWXjMaGQtSy
Roadmap to Financing Adaptation and Resilience in Developing Countries,"November 12, 2025",https://files.wri.org/d8/s3fs-public/2025-11/roadmap-to-financing-adaptation-and-resilience-in-developing-countries.pdf?VersionId=4QOKo.XAhLSKnz2Z2URdsnrtkvW3HlwV
Multilateral Development Banks: Nature and Biodiversity Mainstreaming,"November 6, 2025",https://files.wri.org/d8/s3fs-public/2025-11/multilateral-development-banks-nature-and-biodiversity-mainstreaming.pdf?VersionId=lb6aM817WyvjR5K7G1aSKclsr4ScxS2K
AI for Nature: How AI Can Democratize and Scale Action on Nature,"November 4, 2025",https://files.wri.org/d8/s3fs-public/2025-10/ai-for-nature-how-ai-can-democratize-and-scale-action-on-nature.pdf?VersionId=TB5AYNlTXauVApT8z12MFTzEX5v_RFSf
US automotive manufacturing workers in the transition to battery electric vehicles: An assessment of the impact and opportunities,"October 30, 2025",https://files.wri.org/d8/s3fs-public/2025-11/us-automotive-manufacturing-workers-transition-battery-electric-vehicles.pdf?VersionId=sWr_FDlcn8SRNHpE3fPM.m6KUGc.F0q_
Multilevel Action for Community-Led Climate Resilience in Informal Settlements,"October 30, 2025",https://files.wri.org/d8/s3fs-public/2025-10/multilevel-action-for-community-led-climate-resilience-in-informal-settlements.pdf?VersionId=GAMZX3rgbo2mgdu1XVkJemTJFpMc9w6B
Calculating Indicators From Global Geospatial Data Sets for Benchmarking and Tracking Change in the Urban Environment,"October 29, 2025",https://files.wri.org/d8/s3fs-public/2025-10/benchmarking-tracking-change-urban-environmen-2025-update.pdf?VersionId=FpNJKfcqMs39eyovTbMMFBc06Yt_clzY
State of Climate Action 2025,"October 22, 2025",https://files.wri.org/d8/s3fs-public/2025-10/state-of-climate-action-2025.pdf?VersionId=odJ_53gI5LsAwEeuS8LwTs6vTbvpaINq
Methodology Underpinning the State of Climate Action Series: 2025 Update,"October 22, 2025",https://files.wri.org/d8/s3fs-public/2025-10/state-of-climate-action-methodology-2025-update.pdf?VersionId=xztG9g.HHSzIjp0mEQn1WW24OxlEN6Sg
A Practitioners’ Guide to Assessing and Reducing Post-Harvest Food Loss in Small-Scale Aquatic Food Systems,"October 17, 2025",https://files.wri.org/d8/s3fs-public/2025-10/a-practitioner-s-guide-to-assessing-and-reducing-post-harvest-food-loss-in-small-scale-aquatic-food-systems.pdf?VersionId=bJLHVJbas8A862XO_6nQHaKta8mVAvB.
Charging toward 2035: Policies to accelerate zero-emission heavy-duty trucks in China’s regional and long-haul freight,"October 15, 2025",https://files.wri.org/d8/s3fs-public/2025-10/charging-toward-2035-policies-accelerate-zero-emission-heavy-duty-trucks-chinas-regional-long-haul-freight.pdf?VersionId=U60BPD1thkdkJKu2exIKHUqFmzX1o8kg
Identifying Priority Behavior Change Solutions to Key Drivers of Household Food Waste in the United States,"October 8, 2025",https://files.wri.org/d8/s3fs-public/2025-10/identifying-priority-behavior-change-solutions-to-key-drivers-of-household-food-waste-in-the-united-states.pdf?VersionId=OWIYtL8sNrlIK4ev2n_l12s6hlRRkfWv
Who's Driving This Bus? A Culturally and Legally Informed Approach for Electrifying Student Transportation in Indian Country,"October 6, 2025",https://files.wri.org/d8/s3fs-public/2025-10/whos-driving-this-bus-a-culturally-and-legally-informed-approach-for-electrifying-student-transportation-in-indian-country.pdf?VersionId=wiFnhBH8_jplB0YXP6wCLc9F8IXs0L7L
Understanding the Socioeconomic  Implications of Indonesia’s Net Zero Energy Transition,"October 3, 2025",https://files.wri.org/d8/s3fs-public/2025-10/understanding-socioeconomic-implications-indonesias-net-zero-energy-transition.pdf?VersionId=OXuztOL_wGUfL7OGVp3oEgjzTtW6c1iD
Unlocking the Potential of Blue Carbon Ecosystems Through National Climate Policy,"September 24, 2025",https://files.wri.org/d8/s3fs-public/2025-09/safeguarding-blue-carbon-ecosystems.pdf?VersionId=YLwnOPo9262wM.FSmIuWrFKGs2h6wzV.
"Water Quality Benefit Accounting: Guidance for implementing, evaluating, and claiming water quality benefits of water stewardship projects","September 17, 2025",https://files.wri.org/d8/s3fs-public/2025-09/water-quality-benefit-accounting.pdf?VersionId=_stUTfwu6O6LNzSXpEBZ5Ku4aPMU.5Wh
Land Disturbance Alert Classification System,"September 17, 2025",https://files.wri.org/d8/s3fs-public/2025-09/land-disturbance-alert-classification-system.pdf?VersionId=chbrXVpSFM7MmQbtZo0rl_NBEjnIrLKe
"Volumetric Water Benefit Accounting 2.0: Guidance for implementing, evaluating, and claiming volumetric water benefits of water stewardship projects","September 17, 2025",https://files.wri.org/d8/s3fs-public/2025-09/volumetric-water-benefit-accounting-2-0.pdf?VersionId=kPp518_5.sAb9Fr49WUCTpx__1wJT.87
Extreme Wildfires: A Growing Threat—and a Call to Support Indigenous and Community Leadership,"September 11, 2025",https://files.wri.org/d8/s3fs-public/2025-09/extreme-wildfires-growing-threat-and-call-to-support-indigenous-and-community-leadership.pdf?VersionId=dg06IgubsFA44Bw2aOPJHtZIPGZiFipV
"Reducing Nitrogen Losses in US Row-Crop Agriculture: Challenges, Solutions, and Policy Pathways","September 8, 2025",https://files.wri.org/d8/s3fs-public/2025-09/reducing-nitrogen-losses-in-us-row-crop-agriculture-challenges-solutions-and-policy-pathways.pdf?VersionId=UkkEUfz6pCpkCRw6oWyGj0ZzMTZ8dlim
"Food Loss and Waste in Maize, Potato, Fresh Fruits, and Fish Value Chains in Kenya","September 2, 2025",https://files.wri.org/d8/s3fs-public/2025-08/food-loss-and-waste-in-maize-potato-fresh-fruits-and-fish-value-chains-in-kenya.pdf?VersionId=n4XxIIkRNwHCTP4AhRkM6DIPVzEvA0LB
Technical Note for a Dataset Modeling the Societal Health and Climate Benefits Associated With Transitioning the US School Bus Fleet From Diesel to Electric,"August 27, 2025",https://files.wri.org/d8/s3fs-public/2025-08/technical-note-for-a-dataset-modeling-the-societal-health-and-climate-benefits.pdf?VersionId=sAh8wYbCMsvxcF8C6bGx.pjdKm._vrmA
Elephant in the Boardroom: People Are Missing in Corporate Supply Chain Goals,"August 26, 2025",https://files.wri.org/d8/s3fs-public/2025-08/elephant-in-the-boardroom-people-are-missing-in-corporate-supply-chain-goal.pdf?VersionId=_lTrZKJHaCM.h4dp.LZxaRYy60rkZCnp
Transition’s Harvest: The Economics of Green Hydrogen Use for Fertilizer Production in Kenya,"August 21, 2025",https://files.wri.org/d8/s3fs-public/2025-08/transitions-harvest.pdf?VersionId=jwPZ02lYtbi835ZSX2l8ky1IXUXBqnvh
"Powering Agrifood Systems: Review of Enabling Policies in Kenya, Uganda, and India","August 8, 2025",https://files.wri.org/d8/s3fs-public/2025-08/powering-agrifood-systems-kenya-uganda-india.pdf?VersionId=9EG6TbUKDvGOtipcNLqnLW4HF3JDp9RH
Analysis of US Manure Management and Recommendations to Mitigate Associated Greenhouse Gas Emissions,"August 6, 2025",https://files.wri.org/d8/s3fs-public/2025-08/analysis-and-recommendations-to-mitigate-greenhouse-gas-emissions-from-u.s-manure-management.pdf?VersionId=Pnibe1aHhImLtRl0WdkdrFz.N3Ci.gYa
"Unlocking public finance for clean energy investment through integrated planning and budgeting in Makueni County, Kenya","July 25, 2025",https://files.wri.org/d8/s3fs-public/2025-07/unlocking-public-finance-clean-energy-investment-integrated-planning-budgeting-makueni-county-kenya.pdf?VersionId=SSxIZC4Uf0no1aAqLy2cZXmplqyuMhZm
Assessing intergovernmental climate initiatives: An expectations-based framework,"July 22, 2025",https://files.wri.org/d8/s3fs-public/2025-07/assessing-intergovernmental-climate-initiatives-expectations-based-framework.pdf?VersionId=C52LVMSIDnu.zsZrPBAS9B8zSEa_xlhH
Citizens’ Assemblies and the Climate Emergency: Lessons for Design to Enhance Climate Action,"July 14, 2025",https://files.wri.org/d8/s3fs-public/2025-07/citizens-assemblies-and-the-climate-emergency.pdf?VersionId=NMeD.jRQs0jyd3r1XHxjeV4jRfM8GNXR
Technical Note for A Dataset Of Electric School Bus Adoption In The United States,"July 11, 2025",https://files.wri.org/d8/s3fs-public/2025-07/dataset-esb-adoption-tech-note-july-2025.pdf?VersionId=s9LFL_tKdyBg6pT.opmRDmaiD9QHByoy
An Approach to Powering Unelectrified and Under-Electrified Healthcare Facilities,"July 9, 2025",https://files.wri.org/d8/s3fs-public/2025-07/an-approach-to-powering-unelectrified-and-under-electrified-healthcare-facilities.pdf?VersionId=alidXV47ilH9Qz13CLIEoGmhO7JzRgat
Credibility of Nationally Determined Contributions: The Role of Transparency and Progress Reporting,"June 18, 2025",https://files.wri.org/d8/s3fs-public/2025-06/credibility-nationally-determined-contributions-ndcs.pdf?VersionId=7JENB4JZuYg1fMALtHCNc8XS.b35lL0d
Financial Sector Guidebook on Nature-Based Solutions Investment: Aligning Investment With Impacts and Showcasing Examples,"June 18, 2025",https://files.wri.org/d8/s3fs-public/2025-06/financial-sector-guidebok-nature-based-solutions.pdf?VersionId=0rYa0WRBkt1R0jr70v76kFWmdRIQrXee
A Guidebook for Businesses on Nature,"June 17, 2025",https://files.wri.org/d8/s3fs-public/2025-06/guidebook-businesses-nature.pdf?VersionId=PXeXdRSqRpJZUNV.C0yJBdEFB.rSqfZ7
Completing the Trip: Establishing a Global Quantified Climate Goal for the Transport Sector,"June 16, 2025",https://files.wri.org/d8/s3fs-public/2025-06/completing-the-trip.pdf?VersionId=UGVjcYs9YAZnMvEQesbw37GC5R41rM.e
Rethinking Biofuels in the US Midwest,"June 10, 2025",https://files.wri.org/d8/s3fs-public/2025-05/rethinking-biofuels-us-midwest.pdf?VersionId=q1j1lKJKG6fsDjiZfi.kb_CpxSqrtiV7
Strengthening the Investment Case for Climate Adaptation: A Triple Dividend Approach,"May 29, 2025",https://files.wri.org/d8/s3fs-public/2025-06/strengthening-investment-case-climate-adaptation.pdf?VersionId=een52ahEiIO4IaOA6e8ps4fQCN4xTtph
Towards a Legacy of Resilience: Faith-led Food Systems Transformation Summit,"May 16, 2025",https://files.wri.org/d8/s3fs-public/2025-05/towards-legacy-resilience-faith-led-food-systems-transformation-summit.pdf?VersionId=w8Vj8MjJtygGMi_mTHkg_v9BEabvJVVo
Assessing Supply Chain Barriers to and Opportunities for Advancing Road Transport Electrification in Kenya,"May 16, 2025",https://files.wri.org/d8/s3fs-public/2025-05/accessing-supply-chain-barriers-advancing-road-transport-electrification-kenya.pdf?VersionId=8N_A8C2bHmIQ8SSRNJKOafzV5gVQFR0G
Enhancing Climate Finance Access for Indigenous Peoples and Local Communities: Insights From Payments for Ecosystem Services,"May 12, 2025",https://files.wri.org/d8/s3fs-public/2025-05/enhancing-climate-finance-access-indigenous-peoples-local-communities_0.pdf?VersionId=JB7ePKBkjMCNDjle_9FTuLWvZgAZYPmZ
Climate Watch NDC Tracker: Estimating global and national GHG emissions based on emissions reduction targets in countries’ Nationally Determined Contributions,"May 2, 2025",https://files.wri.org/d8/s3fs-public/2025-05/climate-watch-ndc-tracker.pdf?VersionId=QRK6ZyX4NELquv52oK8bj2cVLxHrzJyU
Biomass and Land Use in a Decarbonizing US Economy,"May 1, 2025",https://files.wri.org/d8/s3fs-public/2025-05/biomass-land-use-decarbonizing-us-economy.pdf?VersionId=8XyDG4Ec9T2vZEsVwKUu99FLL9El0_eu
Assessing 10 Years of International Commitments to Sustainable Ocean Action: A Global Stocktake of the Our Ocean Conference,"April 28, 2025",https://files.wri.org/d8/s3fs-public/2025-04/assessing-10-years-international-commitments-sustainable-ocean-action.pdf?VersionId=um_wyGZzGaYiUn5QTMCbCE5rCaoUMO12
"The Effective Impact of Behavioral Shifts in Energy, Transport, and Food","April 9, 2025",https://files.wri.org/d8/s3fs-public/2025-04/the-effective-impact-behavioral-shifts-energy-transport-food.pdf?VersionId=fJUOIsztUzwpnVbgHOslRiLg4mHvwGSy
Next generation of US policies for geothermal innovation,"April 9, 2025",https://files.wri.org/d8/s3fs-public/2025-04/next-generation-us-policies-geothermal-innovation.pdf?VersionId=lkEv2UVIKKgYpe0QdzeRBYvt15TLFFi_
"People, Planet, Justice: Understanding and Countering Nature Crime","April 8, 2025",https://files.wri.org/d8/s3fs-public/2025-03/people-planet-justice.pdf?VersionId=4T.M_YNlRRnLsMZjJ8omBDLoMBiXCN2b
Next Generation of US Policies To Remove Carbon Pollution From the Atmosphere,"March 27, 2025",https://files.wri.org/d8/s3fs-public/2025-03/next-generation-us-policies-remove-carbon-pollution-atmosphere.pdf?VersionId=dHrstmr30UGUHQ4JNuHW4C2A43DQPNTW
Methodology for the Database of Community Benefits Frameworks Across the US,"March 26, 2025",https://files.wri.org/d8/s3fs-public/2025-03/methodology-database-community-benefits-frameworks-across-us.pdf?VersionId=QscDQa0AVjXkPUyIP4dR8GN1gPA7iuWS
Driving Forward on a Clean Ride for Kids,"March 25, 2025",https://files.wri.org/d8/s3fs-public/2025-03/driving-forward-clean-ride-for-kids.pdf?VersionId=cQ66tGlQTX.Lorqs9j7BCOQ5UJHvtdzx
Water-Resilient Economic Development Planning in Ethiopia,"March 19, 2025",https://files.wri.org/d8/s3fs-public/2025-03/water-resilient-economic-development-planning-ethiopia.pdf?VersionId=Au2hdvE.cBYaznUubf7fjFCrPAv.jxOB
Electrifying Communities: How Clean Cities and Communities Coalitions Bridge Policy and Practice in the Electric School Bus Transition,"March 18, 2025",https://files.wri.org/d8/s3fs-public/2025-03/electrifying-clean-cities-communities-coalitions-electric-school-bus-transition.pdf?VersionId=U1gMqfDLOBIt6PwosDhlZSrZEx4AUF2t
Improving School Infrastructure for Healthier Students and Communities,"March 17, 2025",https://files.wri.org/d8/s3fs-public/2025-03/improving-school-infrastructure-healthier-communities.pdf?VersionId=bs5CICF.GFd0Rn7VL317IcJMaDhUsayv
Needs Assessment for Equitable School Bus Electrification in U.S. School Districts,"March 13, 2025",https://files.wri.org/d8/s3fs-public/2025-03/needs-assessment-equitable-school-bus-electrification-united-states-school-districts-2023.pdf?VersionId=R47a.PsWI8cpH.gYsMRnuzgBpzgipOJC
"Application of GIS in Sub-National Energy Planning in Kenya – Integrating Primary Data Into a Least-Cost Electrification Model Using OnSSET (Case Study of Narok County, Kenya)","March 12, 2025",https://files.wri.org/d8/s3fs-public/2025-03/application-of-gis-in-sub-national-energy-planning-kenya.pdf?VersionId=AE9nSD9R.2pN7o0ThO.1OcOfziT5WYkC
Motorcycle safety and urban road infrastructure,"March 10, 2025",https://files.wri.org/d8/s3fs-public/2025-03/motorcycle-safety-urban-road-infrastructure.pdf?VersionId=04Zu0kPxDDHS8GFag.F0yPpBdbHmY2rL
"Opportunities for Methane Mitigation in Agriculture: Technological, Economic and Regulatory Considerations","March 6, 2025",https://files.wri.org/d8/s3fs-public/2025-02/opportunities-methane-mitigation-agriculture.pdf?VersionId=WTCnIgnw7ktdUcbayS3Xl0pKHZ3s_BHF
Just Transitions Monitoring Guide,"March 5, 2025",https://climateactiontransparency.org/wp-content/uploads/2025/02/ICAT-Just-Transitions-Monitoring-Guide.pdf
Low-Carbon City Development in China: Evaluation Results for More Than 100 Cities Around the World,"February 27, 2025",https://files.wri.org/d8/s3fs-public/2025-02/low-carbon-city-development-china-100-cities.pdf?VersionId=kcl9Q7SddGEpQxYPAGV7QJ8cU1iZKU9x
"Resilient, Equitable Housing, Opportunities, and Urban Services (REHOUSE) Africa conference","February 21, 2025",https://files.wri.org/d8/s3fs-public/2025-02/resilient-equitable-housing-opportunities-urban-services-rehouse-africa-conference.pdf?VersionId=8cK5fa2wqExzyW5BYl9quSxB.ddPv4JB
Growing Resilience: Unlocking the Potential of Nature-Based Solutions for Climate Resilience in Sub-Saharan Africa,"February 19, 2025",https://files.wri.org/d8/s3fs-public/2025-02/growing-resilience-version-2.pdf?VersionId=cuwuabBTn3gQzqkxjsMzrRgl2XxLqJLy
Environmental and Socio-Economic Impact Assessment of Offshore Wind Energy Projects in India,"February 4, 2025",https://files.wri.org/d8/s3fs-public/2025-02/environmental-socio-economic-impact-assessment-offshore-wind-energy-projects-india.pdf?VersionId=eRS7dZ5j8UyOoqi2ljFcLe1Pm2Zaqkgc
The United States Should Not Turn Food Into Aviation Fuel,"January 31, 2025",https://files.wri.org/d8/s3fs-public/2025-01/united-states-should-not-turn-food-into-aviation-fuel.pdf?VersionId=m52F4TnNG41I80AzLhFwd.gPzR3Biwrl
Recommended Total Cost of Ownership Parameters for Electric School Buses: Summary of Methods and Data,"January 2, 2025",https://files.wri.org/d8/s3fs-public/2025-01/recommended-total-cost-ownership-esb-summary-methods-data-v2.pdf?VersionId=kis.ODd5set5XDgaP57.6QeA1kPf9UBH
Unloading Coal Exposure: Where Are We and What Can Chinese Banks Do?,"December 31, 2024",https://files.wri.org/d8/s3fs-public/2024-12/unloading-coal-exposure-chinese-banks.pdf?VersionId=O9BYmJc7mlUYwOKBQi5XSalXyZ_eXEEs
Understanding the Legal Implications of Early Decommissioning: Case Studies of Foreign-Invested Coal Power Plants in Asia,"December 18, 2024",https://files.wri.org/d8/s3fs-public/2024-12/understanding-legal-implications-early-decommissioning.pdf?VersionId=zygIrnBmeN9oGBJZeQHX9TWnmiakIo6d
A Fare Look: Funding Urban Public Transport Operations,"December 11, 2024",https://files.wri.org/d8/s3fs-public/2024-12/fare-look-funding-urban-public-transport-operations.pdf?VersionId=YJLQdtyeaXTCwPvIusoc6Q88mfc6Ozvu
Next Generation of US Policies for Industrial Innovation,"December 9, 2024",https://files.wri.org/d8/s3fs-public/2024-12/next-generation-us-policies-industrial-innovation.pdf?VersionId=tA9BtMhoY9fhhJ5Ces2S7wXBHRDhfg1e
Next-Generation Geothermal: Considerations and Opportunities for Responsible Development,"November 26, 2024",https://files.wri.org/d8/s3fs-public/2024-11/next-generation-geothermal.pdf?VersionId=gyvK5Usn5TcUIBMor6gczuPji2dZzHF7
A Framework for Wildfire Prediction and Loss Assessment: Potential Application in the Financial Sector—Case Study in Yunnan,"November 26, 2024",https://files.wri.org/d8/s3fs-public/2024-11/framework-wildfire-prediction-loss-assessment.pdf?VersionId=4FZPO386wecSHn1xaOfPXnHB7gFUk42K
Technical Potential Assessment of Renewable Energy Projects Developed in China’s Overseas Industrial Parks,"November 24, 2024",https://files.wri.org/d8/s3fs-public/2025-06/technical-potential-assessment-of-renewable-energy-projects-developed-in-china-s-overseas-industrial-parks.pdf?VersionId=US_yCpIAI2uhkPRmH6iNrmHx2kdHkMZv
Detroit’s Community Benefits Ordinance: Lessons Learned About the Community Engagement Process and Its Outcomes,"November 21, 2024",https://files.wri.org/d8/s3fs-public/2024-11/detroit-community-benefits-ordinance-lessons-learned.pdf?VersionId=zieLZcf.SToE0vgP.oxcQCgv1cfaT1rO
Access to Climate Finance in Low and Middle-Income Countries: 14 Case Studies in the Transport Sector,"November 18, 2024",https://files.wri.org/d8/s3fs-public/2025-02/access-climate-finance-low-middle-income-countries.pdf?VersionId=BzzrTqBGKfjFkDh4ipLXkuxeR8PCFhHd
"Stronger NDCs With Cities, States, and Regions: Recommendations for National Governments","November 13, 2024",https://files.wri.org/d8/s3fs-public/2024-11/stronger-ndcs-cities-states-regions-recommendations-national-governments.pdf?VersionId=wBUXBiAp4tVhmQ4hcPlaXklcZ80c2dOw
Methodology Underpinning the State of Climate Action Series: 2024 Update,"October 17, 2024",https://files.wri.org/d8/s3fs-public/2024-10/state-of-climate-action-methodology-2024.pdf?VersionId=zY8_dUm5vPwkhjRAFaPtBQMf1RJZJdx8
Sustainable Behavior in Climate Pledges: An Analysis of Top Emitters’ Strategies,"October 2, 2024",https://files.wri.org/d8/s3fs-public/2024-09/sustainable-behavior-climate-pledges-analysis-top-emitters-strategies.pdf?VersionId=n6ws0_jjKlWpJIBZKIP3tlCGxy319RZf
The role of faith-based organizations in tackling food loss and waste in Rwanda: A preliminary study,"September 25, 2024",https://files.wri.org/d8/s3fs-public/2024-09/role-faith-based-organizations-tackling-food-loss-waste-rwanda-preliminary-study.pdf?VersionId=eLuzskSKwFgIQm4DCxW17hAhnkNCuK5.
"Potential Risks to Women’s Land Rights From Climate Actions: Exploring Matrilineal Communities in Colombia, Costa Rica, and Panama","September 25, 2024",https://files.wri.org/d8/s3fs-public/2024-09/potential-risks-womens-land-rights-climate-actions-exploring-matrilineal-communities-colombia-costa-rica-panama.pdf?VersionId=wLjQbpInDAY9KnOYEon2t4uzeEV2FrTj
"Aligning NDCs with 1.5°C, Net Zero, and LT-LEDS","September 24, 2024",https://files.wri.org/d8/s3fs-public/2024-09/aligning-ndcs-1-5-degc-net-zero-low-emissions-development-strategies.pdf?VersionId=WtRNNf.4B6MbI1LeW_8K0vWyYpVmJYMR
Unlocking Local Private Capital to Finance the Productive Use of Renewable Energy (PURE) Sector – a Look at East African Local Financial Institutions (LFIs),"September 23, 2024",https://files.wri.org/d8/s3fs-public/2024-09/unlocking-local-private-capital-finance-productive-use-renewable-energy-pure-sector.pdf?VersionId=gNHWW4PJWzDz.jK.4KuSNg_By5owaUDf
"City-Scale, City-Relevant Climate Hazard Indicators Under 1.5°C, 2.0°C, and 3.0°C of Global Warming","September 19, 2024",https://files.wri.org/d8/s3fs-public/2024-04/city-scale-city-relevant-climate-hazard-indicators.pdf?VersionId=NtyURloxZCvB5Onov0_0_SmQp5PVTP90
Technical Note: Climate Finance Calculator - Data and Methodology,"September 17, 2024",https://files.wri.org/d8/s3fs-public/2024-09/climate-finance-calculator-data-methodology.pdf?VersionId=4gEr5wqQHPWN_PmV3rZ.mpyDI1t59ELZ
China’s International Climate-Related Finance Provision and Mobilization for South-South Cooperation,"September 16, 2024",https://files.wri.org/d8/s3fs-public/2024-09/chinas-international-climate-related-finance-provision.pdf?VersionId=kj9ZIULi58KKY5RGXHSWztzkd94olJAB
Co-Creation of the Accelerating Circular Economy for Food (ACE4Food) Initiative: Collective Impact Towards a Circular Economy for Food in East Africa,"September 10, 2024",https://files.wri.org/d8/s3fs-public/2024-10/ace4food-circular-economy-east-africa-conference-proceedings.pdf?VersionId=FVt83IybiaAOqdSJ2ONccf46JyxsvVWj
Assessment of the Monitoring and Evaluation System’s Effectiveness in a Forest and Landscape Restoration Project Under Ethiopia’s REDD+ Investment Program,"September 4, 2024",https://files.wri.org/d8/s3fs-public/2024-09/assessment-monitoring-evaluation-system-forest-landscape-restoration-project-ethiopia-redd.pdf?VersionId=08sKzBc2LmMDhTBGrS6EhoSOaW3SoGWD
Net Zero Finance Analysis: A Framework for Assessing Net Zero Commitments by Financial Institutions,"August 13, 2024",https://files.wri.org/d8/s3fs-public/2024-08/financial-institutions-net-zero-tracker-technical-note.pdf?VersionId=zdS3VCj9bxVnjST5d_igm.7frlcXTUaJ
Electrifying US School Bus Fleets Equitably to Reduce Air Pollution Exposure in Underserved Communities,"August 5, 2024",https://files.wri.org/d8/s3fs-public/2024-08/electrifying-us-school-bus-fleets-equitably.pdf?VersionId=yOsXYP91ferM3_Hnxrq2YdAs8ZM5Ksgc
"Next Stop, Access! An Exploratory Paper on Disability Rights and Justice Throughout the Transition to Electric School Buses","July 23, 2024",https://files.wri.org/d8/s3fs-public/2024-07/before-you-read-next-stop-access.pdf
Critical Minerals for India's Clean Energy Transition,"July 22, 2024",https://files.wri.org/d8/s3fs-public/2024-07/critical-minerals-india-clean-energy-transition.pdf?VersionId=rXaAQpIhL_iYq_b5JY8XHMTVAtjfUfq1
